config,metric,unit,version,center,std,sem,n_iters
auth1-owned-f1-qps200-n4,TPS,,V1,221.64324227669115,6.105815687364905,0.6188201520014563,10
auth1-owned-f1-qps200-n4,TPS,,V2,218.75626461445353,21.779655344290667,2.766004215963453,10
auth1-owned-f1-qps200-n4,attest. full p50 (s),,V1,nan,nan,nan,10
auth1-owned-f1-qps200-n4,attest. full p50 (s),,V2,0.0005395168371144517,8.38009990959035e-06,1.2700695811209512e-06,10
auth1-owned-f1-qps200-n4,attest. full p95 (s),,V1,nan,nan,nan,10
auth1-owned-f1-qps200-n4,attest. full p95 (s),,V2,0.002182073561155348,0.0005248331283876262,7.46079262851475e-05,10
auth1-owned-f1-qps200-n4,attest. full p99 (s),,V1,nan,nan,nan,10
auth1-owned-f1-qps200-n4,attest. full p99 (s),,V2,0.004421013774476652,0.00023409635964650584,1.6753966980127027e-05,10
auth1-owned-f1-qps200-n4,attest. / sec,,V1,0.0,0.0,0.0,10
auth1-owned-f1-qps200-n4,attest. / sec,,V2,97.6538368958213,12.396620248661021,1.4584806714344825,10
auth1-owned-f1-qps200-n4,host CPU,,V1,6.947440494503409,2.539442207530714,0.039131292184006086,10
auth1-owned-f1-qps200-n4,host CPU,,V2,6.689964035410704,2.459914317984716,0.06811539510238412,10
auth1-owned-f1-qps200-n4,rec. → exec. p50 (s),,V1,0.20467891499608948,0.03802218013026425,0.00613028369458748,10
auth1-owned-f1-qps200-n4,rec. → exec. p50 (s),,V2,0.20792380713943048,0.04986427530285194,0.007720977658006575,10
auth1-owned-f1-qps200-n4,rec. → exec. p95 (s),,V1,0.40870145118948853,0.08745660298977065,0.027884378372162878,10
auth1-owned-f1-qps200-n4,rec. → exec. p95 (s),,V2,0.40635149268222526,0.07362291722969057,0.021517102055080256,10
auth1-owned-f1-qps200-n4,rec. → exec. p99 (s),,V1,0.45147654952365546,0.11796876103787061,0.0346475232867308,10
auth1-owned-f1-qps200-n4,rec. → exec. p99 (s),,V2,0.47660404645353704,0.0558395870645915,0.011790079428509653,10
auth1-owned-f1-qps200-n4,pc valid. lat. p50 (s),,V1,0.0040111957908997185,0.00031329242453347734,8.155399988236534e-05,10
auth1-owned-f1-qps200-n4,pc valid. lat. p50 (s),,V2,0.0006133746014612853,5.3394681169705376e-05,9.40635768187138e-06,10
auth1-owned-f1-qps200-n4,pc valid. lat. p95 (s),,V1,0.014946813692292806,0.0031607336801958716,0.0008904459621501035,10
