config,metric,unit,version,center,std,sem,n_iters
slow0-owned-f1-qps200-n48,TPS,,V1,198.34393862674574,88.56883844065172,0.4281561868788976,10
slow0-owned-f1-qps200-n48,TPS,,V2,198.44527864454605,87.46261444453289,0.37689235499753265,10
slow0-owned-f1-qps200-n48,attest. full p50 (s),,V1,nan,nan,nan,10
slow0-owned-f1-qps200-n48,attest. full p50 (s),,V2,0.002630448133638797,0.00019111997032448134,2.020405385242875e-05,10
slow0-owned-f1-qps200-n48,attest. full p95 (s),,V1,nan,nan,nan,10
slow0-owned-f1-qps200-n48,attest. full p95 (s),,V2,0.016937711066182203,0.001362732505211029,0.00014453322803849233,10
slow0-owned-f1-qps200-n48,attest. full p99 (s),,V1,nan,nan,nan,10
slow0-owned-f1-qps200-n48,attest. full p99 (s),,V2,0.024531112890429307,0.0012762646613041996,0.00014747458305440863,10
slow0-owned-f1-qps200-n48,attest. / sec,,V1,0.0,0.0,0.0,10
slow0-owned-f1-qps200-n48,attest. / sec,,V2,19.089227357609712,7.290379580738627,0.23354396630495286,10
slow0-owned-f1-qps200-n48,host CPU,,V1,82.66703724054233,32.235901635881646,0.4462625974118169,10
slow0-owned-f1-qps200-n48,host CPU,,V2,81.82544978022202,33.13922133569325,0.2324014414782685,10
slow0-owned-f1-qps200-n48,rec. → exec. p50 (s),,V1,0.6067510590204522,0.16754595014880996,0.013279787327893033,10
slow0-owned-f1-qps200-n48,rec. → exec. p50 (s),,V2,0.6130733943966249,0.12094874127132726,0.012135118327317082,10
slow0-owned-f1-qps200-n48,rec. → exec. p95 (s),,V1,1.011983015696764,0.2382639466269413,0.037142209077250715,10
slow0-owned-f1-qps200-n48,rec. → exec. p95 (s),,V2,0.9556636754544591,0.04221305797478308,0.0022603843073067133,10
slow0-owned-f1-qps200-n48,rec. → exec. p99 (s),,V1,1.0652056292323957,0.270227499762958,0.044311091402476264,10
slow0-owned-f1-qps200-n48,rec. → exec. p99 (s),,V2,1.0191526683734633,0.15572775970170377,0.020282672221360796,10
slow0-owned-f1-qps200-n48,pc valid. lat. p50 (s),,V1,0.0007076365280194512,1.8719290659674523e-05,2.282466479309918e-06,10
slow0-owned-f1-qps200-n48,pc valid. lat. p50 (s),,V2,0.0005967699062238433,2.4367444293209284e-05,3.557783548014099e-06,10
slow0-owned-f1-qps200-n48,pc valid. lat. p95 (s),,V1,0.0065894711341900735,0.0006673226609322104,6.62428069847595e-05,10
slow0-owned-f1-qps200-n48,pc valid. lat. p95 (s),,V2,0.005372633148685044,0.0004418266271353656,5.559068324169354e-05,10
slow0-owned-f1-qps200-n48,exec. lat. p95 (s),,V1,0.006340386816644874,0.0026131188173286264,7.582715904835614e-05,10
slow0-owned-f1-qps200-n48,exec. lat. p95 (s),,V2,0.0063473029785502295,0.0028299221396065914,0.0001086792832639618,10
slow0-owned-f1-qps200-n48,valid. drop. / sec,,V1,0.0,0.0,0.0,10
slow0-owned-f1-qps200-n48,valid. drop. / sec,,V2,0.0,0.0,0.0,10
slow0-owned-f1-qps200-n48,final. lat. p50 (s),,V1,0.47069726273381485,0.012325792268955287,0.0017613469944873382,10
slow0-owned-f1-qps200-n48,final. lat. p50 (s),,V2,0.4762302854467496,0.00998776246440372,0.0014797005701432837,10
slow0-owned-f1-qps200-n48,final. lat. p95 (s),,V1,0.6174134808508757,0.10497672124247714,0.013207992323638883,10
slow0-owned-f1-qps200-n48,final. lat. p95 (s),,V2,0.6113291552267499,0.04684075761559262,0.0039058831191004727,10
slow0-owned-f1-qps200-n48,final. lat. p99 (s),,V1,0.6812375055376027,0.15444740160335052,0.02129336190674913,10
slow0-owned-f1-qps200-n48,final. lat. p99 (s),,V2,0.6737006971330685,0.08074659008309501,0.0075508233681743425,10
slow0-owned-f1-qps200-n48,submit lat. p50 (s),,V1,0.019879112118448148,0.0010523322677785342,0.00018574457584630041,10
slow0-owned-f1-qps200-n48,submit lat. p50 (s),,V2,0.023129134919209093,0.0010944632448769665,0.0001200040481412859,10
slow0-owned-f1-qps200-n48,submit lat. p95 (s),,V1,0.05660218954507995,0.0058466571257318545,0.0007325038260376386,10
slow0-owned-f1-qps200-n48,submit lat. p95 (s),,V2,0.06308075889120539,0.004293640323755279,0.0003981397524982676,10
