iso_time,burst,bar_ms,iter,peak_inflight,ratio,exit_codes_ok
2026-05-18T09-55-09Z,1800,500,1,176,8.80,1
2026-05-18T09-57-40Z,1800,500,2,107,5.35,1
2026-05-18T10-00-05Z,1800,500,3,249,12.45,1
2026-05-18T10-04-09Z,1800,500,4,794,39.70,1
2026-05-18T10-06-34Z,1800,500,5,221,11.05,1
2026-05-18T10-08-59Z,1800,500,6,994,49.70,1
2026-05-18T10-11-25Z,1800,500,7,157,7.85,1
2026-05-18T10-13-50Z,1800,500,8,43,2.15,1
2026-05-18T10-16-17Z,1800,500,9,139,6.95,1
2026-05-18T10-18-37Z,1800,500,10,133,6.65,1
2026-05-18T10-21-03Z,1800,500,11,91,4.55,1
2026-05-18T10-23-23Z,1800,500,12,560,28.00,1
2026-05-18T10-25-49Z,1800,500,13,219,10.95,1
2026-05-18T10-28-09Z,1800,500,14,146,7.30,1
2026-05-18T10-30-34Z,1800,500,15,186,9.30,1
2026-05-18T10-32-55Z,1800,500,16,160,8.00,1
2026-05-18T10-36-49Z,1800,500,17,93,4.65,1
2026-05-18T10-39-25Z,1800,500,18,1001,50.05,1
2026-05-18T10-41-50Z,1800,500,19,149,7.45,1
2026-05-18T10-44-16Z,1800,500,20,527,26.35,1
2026-05-18T10-46-37Z,1800,500,21,905,45.25,1
2026-05-18T10-49-02Z,1800,500,22,591,29.55,1
2026-05-18T10-52-56Z,1800,500,23,271,13.55,1
2026-05-18T10-57-37Z,1800,500,24,108,5.40,1
2026-05-18T12-58-43Z,1800,500,25,368,18.40,1
2026-05-18T13-01-09Z,1800,500,26,460,23.00,1
2026-05-18T13-03-50Z,1800,500,27,367,18.35,1
2026-05-18T13-06-15Z,1800,500,28,99,4.95,1
2026-05-18T13-08-40Z,1800,500,29,216,10.80,1
2026-05-18T13-11-00Z,1800,500,30,154,7.70,1
