iso_time,burst,bar_ms,iter,peak_inflight,ratio,exit_codes_ok
2026-05-19T07-44-19Z,1800,500,1,182,9.10,1
2026-05-19T07-46-16Z,1800,500,2,233,11.65,1
2026-05-19T07-48-11Z,1800,500,3,182,9.10,1
2026-05-19T07-50-07Z,1800,500,4,185,9.25,1
2026-05-19T07-52-03Z,1800,500,5,175,8.75,1
2026-05-19T07-53-59Z,1800,500,6,575,28.75,1
2026-05-19T07-55-55Z,1800,500,7,185,9.25,1
2026-05-19T07-57-51Z,1800,500,8,249,12.45,1
2026-05-19T07-59-47Z,1800,500,9,222,11.10,1
2026-05-19T08-01-43Z,1800,500,10,411,20.55,1
2026-05-19T08-03-40Z,1800,500,11,341,17.05,1
2026-05-19T08-05-37Z,1800,500,12,356,17.80,1
2026-05-19T08-07-33Z,1800,500,13,193,9.65,1
2026-05-19T08-09-29Z,1800,500,14,170,8.50,1
2026-05-19T08-11-26Z,1800,500,15,198,9.90,1
2026-05-19T08-13-22Z,1800,500,16,69,3.45,1
2026-05-19T08-15-19Z,1800,500,17,224,11.20,1
2026-05-19T08-17-15Z,1800,500,18,184,9.20,1
2026-05-19T08-19-10Z,1800,500,19,182,9.10,1
2026-05-19T08-21-06Z,1800,500,20,222,11.10,1
2026-05-19T08-23-03Z,1800,500,21,359,17.95,1
2026-05-19T08-24-59Z,1800,500,22,176,8.80,1
2026-05-19T08-26-55Z,1800,500,23,131,6.55,1
2026-05-19T08-28-50Z,1800,500,24,781,39.05,1
2026-05-19T08-30-48Z,1800,500,25,135,6.75,1
2026-05-19T08-32-44Z,1800,500,26,164,8.20,1
2026-05-19T08-34-39Z,1800,500,27,297,14.85,1
2026-05-19T08-36-54Z,1800,500,28,147,7.35,1
2026-05-19T08-38-51Z,1800,500,29,192,9.60,1
2026-05-19T08-40-47Z,1800,500,30,411,20.55,1
