iso_time,burst,bar_ms,iter,peak_inflight,ratio,exit_codes_ok
2026-05-18T18-08-53Z,1800,500,1,744,37.20,1
2026-05-18T18-10-49Z,1800,500,2,225,11.25,1
2026-05-18T18-12-45Z,1800,500,3,140,7.00,1
2026-05-18T18-14-40Z,1800,500,4,73,3.65,1
2026-05-18T18-16-37Z,1800,500,5,199,9.95,1
2026-05-18T18-18-33Z,1800,500,6,236,11.80,1
2026-05-18T18-20-29Z,1800,500,7,292,14.60,1
2026-05-18T18-22-25Z,1800,500,8,179,8.95,1
2026-05-18T18-24-21Z,1800,500,9,100,5.00,1
2026-05-18T18-26-21Z,1800,500,10,90,4.50,1
2026-05-18T18-28-18Z,1800,500,11,419,20.95,1
2026-05-18T18-30-13Z,1800,500,12,193,9.65,1
2026-05-18T18-32-09Z,1800,500,13,357,17.85,1
2026-05-18T18-34-05Z,1800,500,14,204,10.20,1
2026-05-18T18-36-01Z,1800,500,15,250,12.50,1
2026-05-18T18-38-08Z,1800,500,16,172,8.60,1
2026-05-18T18-40-04Z,1800,500,17,222,11.10,1
2026-05-18T18-42-00Z,1800,500,18,187,9.35,1
2026-05-18T18-44-01Z,1800,500,19,126,6.30,1
2026-05-18T18-45-57Z,1800,500,20,574,28.70,1
2026-05-18T18-47-57Z,1800,500,21,261,13.05,1
2026-05-18T18-49-53Z,1800,500,22,340,17.00,1
2026-05-18T18-51-49Z,1800,500,23,166,8.30,1
2026-05-18T18-53-45Z,1800,500,24,227,11.35,1
2026-05-18T18-55-46Z,1800,500,25,210,10.50,1
2026-05-18T18-57-42Z,1800,500,26,315,15.75,1
2026-05-18T18-59-38Z,1800,500,27,722,36.10,1
2026-05-18T19-01-34Z,1800,500,28,386,19.30,1
2026-05-18T19-03-31Z,1800,500,29,828,41.40,1
2026-05-18T19-05-27Z,1800,500,30,133,6.65,1
