iso_time,burst,bar_ms,iter,peak_inflight,ratio,exit_codes_ok
2026-05-18T13-46-34Z,1800,500,1,1067,53.35,1
2026-05-18T13-49-00Z,1800,500,2,183,9.15,1
2026-05-18T13-51-20Z,1800,500,3,521,26.05,1
2026-05-18T13-54-06Z,1800,500,4,275,13.75,1
2026-05-18T13-56-26Z,1800,500,5,275,13.75,1
2026-05-18T14-00-17Z,1800,500,6,168,8.40,1
2026-05-18T14-02-44Z,1800,500,7,169,8.45,1
2026-05-18T14-05-09Z,1800,500,8,534,26.70,1
2026-05-18T14-07-32Z,1800,500,9,355,17.75,1
2026-05-18T14-32-24Z,1800,500,10,316,15.80,1
2026-05-18T14-34-46Z,1800,500,11,219,10.95,1
2026-05-18T14-37-32Z,1800,500,12,867,43.35,1
2026-05-18T14-39-58Z,1800,500,13,901,45.05,1
2026-05-18T14-42-25Z,1800,500,14,132,6.60,1
2026-05-18T14-44-51Z,1800,500,15,124,6.20,1
2026-05-18T14-47-13Z,1800,500,16,242,12.10,1
2026-05-18T14-49-39Z,1800,500,17,586,29.30,1
2026-05-18T14-52-50Z,1800,500,18,223,11.15,1
2026-05-18T14-55-11Z,1800,500,19,220,11.00,1
2026-05-18T14-57-37Z,1800,500,20,416,20.80,1
2026-05-18T15-00-02Z,1800,500,21,170,8.50,1
2026-05-18T15-02-29Z,1800,500,22,219,10.95,1
2026-05-18T15-04-55Z,1800,500,23,74,3.70,1
2026-05-18T15-07-27Z,1800,500,24,145,7.25,1
2026-05-18T15-09-53Z,1800,500,25,354,17.70,1
2026-05-18T15-12-19Z,1800,500,26,210,10.50,1
2026-05-18T15-14-49Z,1800,500,27,141,7.05,1
2026-05-18T15-17-16Z,1800,500,28,717,35.85,1
2026-05-18T15-19-41Z,1800,500,29,241,12.05,1
2026-05-18T15-22-08Z,1800,500,30,257,12.85,1
