iso_time,burst,bar_ms,iter,start_pct,peak_inflight,ratio,exit_codes_ok,reject_grad_preventive,reject_grad_reactive,reject_max_pending,reject_semaphore
2026-05-19T14-19-33Z,1800,500,1,100,110,5.50,1,0,0,0,247068
2026-05-19T14-21-58Z,1800,500,2,100,884,44.20,1,0,0,0,1102489
2026-05-19T14-24-27Z,1800,500,3,100,833,41.65,1,0,0,0,1113174
2026-05-19T14-26-54Z,1800,500,4,100,315,15.75,1,0,0,0,812430
2026-05-19T14-29-19Z,1800,500,5,100,180,9.00,1,0,0,0,334813
2026-05-19T14-31-46Z,1800,500,6,100,175,8.75,1,0,0,0,1128857
2026-05-19T14-34-06Z,1800,500,7,100,85,4.25,1,0,0,0,292199
2026-05-19T14-36-33Z,1800,500,8,100,112,5.60,1,0,0,0,265507
2026-05-19T14-38-59Z,1800,500,9,100,205,10.25,1,0,0,0,349123
2026-05-19T14-41-21Z,1800,500,10,100,722,36.10,1,0,0,0,796286
2026-05-19T14-43-47Z,1800,500,11,100,251,12.55,1,0,0,0,1127331
2026-05-19T14-46-13Z,1800,500,12,100,1028,51.40,1,0,347694,0,744722
2026-05-19T14-48-39Z,1800,500,13,100,205,10.25,1,0,0,0,1103579
2026-05-19T14-51-04Z,1800,500,14,100,322,16.10,1,0,0,0,1147916
2026-05-19T14-53-30Z,1800,500,15,100,94,4.70,1,0,0,0,352099
2026-05-19T14-55-56Z,1800,500,16,100,1095,54.75,1,0,722745,0,112368
2026-05-19T14-58-22Z,1800,500,17,100,280,14.00,1,0,0,0,319902
2026-05-19T15-00-48Z,1800,500,18,100,816,40.80,1,0,0,0,1121295
2026-05-19T15-03-14Z,1800,500,19,100,150,7.50,1,0,0,0,783295
2026-05-19T15-05-40Z,1800,500,20,100,219,10.95,1,0,0,0,1150832
2026-05-19T15-08-06Z,1800,500,21,100,271,13.55,1,0,0,0,1114341
2026-05-19T15-10-41Z,1800,500,22,100,132,6.60,1,0,0,0,826456
2026-05-19T15-13-07Z,1800,500,23,100,278,13.90,1,0,0,0,1135962
2026-05-19T15-15-42Z,1800,500,24,100,197,9.85,1,0,0,0,1097762
