iso_time,burst,bar_ms,iter,start_pct,peak_inflight,ratio,exit_codes_ok,reject_grad_preventive,reject_grad_reactive,reject_max_pending,reject_semaphore
2026-05-19T15-18-08Z,1800,500,25,100,303,15.15,1,0,0,0,828544
2026-05-19T15-20-34Z,1800,500,26,100,92,4.60,1,0,0,0,354413
2026-05-19T15-23-00Z,1800,500,27,100,54,2.70,1,0,0,0,265353
2026-05-19T15-25-22Z,1800,500,28,100,356,17.80,1,0,0,0,1158769
2026-05-19T15-27-43Z,1800,500,29,100,316,15.80,1,0,0,0,1131547
2026-05-19T15-30-09Z,1800,500,30,100,1042,52.10,1,0,203688,0,914017
2026-05-20T08-05-45Z,1800,500,31,100,241,12.05,1,0,0,0,1123875
2026-05-20T09-04-39Z,1800,500,32,100,499,24.95,1,0,0,0,1110997
2026-05-20T09-01-53Z,1800,500,33,100,409,20.45,1,0,0,0,1108689
2026-05-20T08-09-44Z,1800,500,34,100,186,9.30,1,0,0,0,826478
2026-05-20T08-12-09Z,1800,500,35,100,123,6.15,1,0,0,0,792023
2026-05-20T08-14-34Z,1800,500,36,100,123,6.15,1,0,0,0,360898
2026-05-20T08-17-00Z,1800,500,37,100,110,5.50,1,0,0,0,270573
2026-05-20T08-19-27Z,1800,500,38,100,176,8.80,1,0,0,0,827567
2026-05-20T08-21-53Z,1800,500,39,100,260,13.00,1,0,0,0,794784
2026-05-20T08-24-19Z,1800,500,40,100,671,33.55,1,0,0,0,1123775
2026-05-20T08-26-40Z,1800,500,41,100,66,3.30,1,0,0,0,293459
2026-05-20T08-29-21Z,1800,500,42,100,122,6.10,1,0,0,0,310682
2026-05-20T08-31-47Z,1800,500,43,100,775,38.75,1,0,0,0,1103838
2026-05-20T08-34-34Z,1800,500,44,100,1033,51.65,1,0,248444,0,599433
2026-05-20T08-37-00Z,1800,500,45,100,274,13.70,1,0,0,0,826462
2026-05-20T08-39-20Z,1800,500,46,100,304,15.20,1,0,0,0,1133013
2026-05-20T08-41-46Z,1800,500,47,100,508,25.40,1,0,0,0,266740
2026-05-20T08-44-08Z,1800,500,48,100,169,8.45,1,0,0,0,1119031
2026-05-20T08-46-33Z,1800,500,49,100,124,6.20,1,0,0,0,551056
2026-05-20T08-49-00Z,1800,500,50,100,142,7.10,1,0,0,0,794724
2026-05-19T15-35-16Z,1800,500,1,50,268,13.40,1,0,0,0,1089589
2026-05-19T15-37-42Z,1800,500,2,50,228,11.40,1,0,0,0,251445
2026-05-19T15-40-08Z,1800,500,3,50,187,9.35,1,0,0,0,1101050
2026-05-19T15-42-34Z,1800,500,4,50,447,22.35,1,0,0,0,1118963
2026-05-19T15-45-00Z,1800,500,5,50,139,6.95,1,0,0,0,1143088
2026-05-19T15-47-25Z,1800,500,6,50,162,8.10,1,0,0,0,1133649
2026-05-19T15-49-46Z,1800,500,7,50,435,21.75,1,0,0,0,1143597
2026-05-19T15-52-12Z,1800,500,8,50,148,7.40,1,0,0,0,1126519
2026-05-19T15-54-32Z,1800,500,9,50,820,41.00,1,143415,0,0,995616
2026-05-19T15-56-53Z,1800,500,10,50,135,6.75,1,0,0,0,267870
2026-05-19T15-59-40Z,1800,500,11,50,190,9.50,1,0,0,0,1121418
2026-05-19T16-02-05Z,1800,500,12,50,60,3.00,1,0,0,0,202022
2026-05-19T16-04-37Z,1800,500,13,50,121,6.05,1,0,0,0,403655
2026-05-19T16-07-04Z,1800,500,14,50,251,12.55,1,0,0,0,289818
2026-05-19T16-09-31Z,1800,500,15,50,88,4.40,1,0,0,0,204220
2026-05-19T16-11-58Z,1800,500,16,50,244,12.20,1,0,0,0,826542
2026-05-19T16-14-24Z,1800,500,17,50,233,11.65,1,0,0,0,806894
2026-05-19T16-16-45Z,1800,500,18,50,47,2.35,1,0,0,0,268809
2026-05-19T16-19-11Z,1800,500,19,50,665,33.25,1,131635,0,0,680791
2026-05-19T16-21-37Z,1800,500,20,50,127,6.35,1,0,0,0,1121395
2026-05-19T16-24-03Z,1800,500,21,50,155,7.75,1,0,0,0,291099
2026-05-19T16-26-29Z,1800,500,22,50,130,6.50,1,0,0,0,432006
2026-05-19T16-29-15Z,1800,500,23,50,26,1.30,1,0,0,0,242217
2026-05-19T16-31-37Z,1800,500,24,50,370,18.50,1,0,0,0,1133195
2026-05-19T16-34-04Z,1800,500,25,50,639,31.95,1,37489,0,0,1054958
2026-05-19T16-36-25Z,1800,500,26,50,431,21.55,1,0,0,0,1134182
2026-05-19T16-38-45Z,1800,500,27,50,194,9.70,1,0,0,0,827171
2026-05-19T16-41-11Z,1800,500,28,50,191,9.55,1,0,0,0,1093181
2026-05-19T16-43-37Z,1800,500,29,50,181,9.05,1,0,0,0,334944
2026-05-19T16-46-03Z,1800,500,30,50,224,11.20,1,0,0,0,1144298
2026-05-20T09-10-17Z,1800,500,31,50,869,43.45,1,217606,0,0,168900
2026-05-20T09-12-43Z,1800,500,32,50,741,37.05,1,251363,0,0,870238
2026-05-20T09-15-04Z,1800,500,33,50,224,11.20,1,0,0,0,1105994
2026-05-20T09-17-30Z,1800,500,34,50,154,7.70,1,0,0,0,1099200
2026-05-20T09-19-56Z,1800,500,35,50,949,47.45,1,544311,0,0,219635
2026-05-20T09-22-21Z,1800,500,36,50,195,9.75,1,0,0,0,1142803
2026-05-20T09-24-47Z,1800,500,37,50,614,30.70,1,59732,0,0,1068386
2026-05-20T09-27-13Z,1800,500,38,50,514,25.70,1,927,0,0,1109999
2026-05-20T09-29-38Z,1800,500,39,50,812,40.60,1,334634,0,0,763039
2026-05-20T09-32-04Z,1800,500,40,50,65,3.25,1,0,0,0,280702
2026-05-20T09-34-31Z,1800,500,41,50,108,5.40,1,0,0,0,291157
2026-05-20T09-36-57Z,1800,500,42,50,304,15.20,1,0,0,0,1106590
2026-05-20T09-39-18Z,1800,500,43,50,43,2.15,1,0,0,0,278052
2026-05-20T09-42-10Z,1800,500,44,50,223,11.15,1,0,0,0,826030
2026-05-20T09-44-36Z,1800,500,45,50,167,8.35,1,0,0,0,763076
2026-05-20T09-47-02Z,1800,500,46,50,840,42.00,1,222985,0,0,526122
2026-05-20T09-49-28Z,1800,500,47,50,96,4.80,1,0,0,0,330291
2026-05-20T10-06-45Z,1800,500,48,50,270,13.50,1,0,0,0,1136793
2026-05-20T10-10-45Z,1800,500,49,50,520,26.00,1,5752,0,0,277500
2026-05-20T09-55-19Z,1800,500,50,50,123,6.15,1,0,0,0,298588
2026-05-19T17-27-10Z,1800,500,1,25,919,45.95,1,221789,0,0,857358
2026-05-19T17-29-36Z,1800,500,2,25,116,5.80,1,0,0,0,828638
2026-05-19T17-32-21Z,1800,500,3,25,182,9.10,1,0,0,0,1136474
2026-05-19T17-35-32Z,1800,500,4,25,400,20.00,1,43493,0,0,261508
2026-05-19T17-37-58Z,1800,500,5,25,437,21.85,1,103651,0,0,999974
2026-05-19T17-40-19Z,1800,500,6,25,172,8.60,1,0,0,0,1080477
2026-05-19T17-42-45Z,1800,500,7,25,154,7.70,1,0,0,0,1133909
2026-05-19T17-45-06Z,1800,500,8,25,449,22.45,1,70684,0,0,360099
2026-05-19T17-47-32Z,1800,500,9,25,764,38.20,1,174119,0,0,968572
2026-05-19T17-49-53Z,1800,500,10,25,196,9.80,1,0,0,0,275808
2026-05-19T17-52-19Z,1800,500,11,25,74,3.70,1,0,0,0,203970
2026-05-19T17-54-46Z,1800,500,12,25,152,7.60,1,0,0,0,341886
2026-05-19T17-57-13Z,1800,500,13,25,237,11.85,1,0,0,0,1085327
2026-05-19T17-59-39Z,1800,500,14,25,225,11.25,1,0,0,0,794438
2026-05-19T18-02-05Z,1800,500,15,25,153,7.65,1,0,0,0,1143733
2026-05-19T18-04-51Z,1800,500,16,25,161,8.05,1,0,0,0,322046
2026-05-19T18-07-17Z,1800,500,17,25,606,30.30,1,106677,0,0,1034989
2026-05-19T18-09-42Z,1800,500,18,25,381,19.05,1,12147,0,0,1122966
2026-05-19T18-12-09Z,1800,500,19,25,879,43.95,1,598658,0,0,441948
2026-05-19T18-14-34Z,1800,500,20,25,109,5.45,1,0,0,0,794393
2026-05-19T18-17-05Z,1800,500,21,25,149,7.45,1,0,0,0,387257
2026-05-19T18-19-31Z,1800,500,22,25,340,17.00,1,30632,0,0,330724
2026-05-19T18-21-58Z,1800,500,23,25,226,11.30,1,0,0,0,280149
2026-05-19T18-24-25Z,1800,500,24,25,247,12.35,1,0,0,0,1127026
2026-05-19T18-26-51Z,1800,500,25,25,209,10.45,1,0,0,0,826386
2026-05-19T18-29-12Z,1800,500,26,25,235,11.75,1,0,0,0,1128045
2026-05-19T18-31-37Z,1800,500,27,25,95,4.75,1,0,0,0,1099463
2026-05-19T18-34-03Z,1800,500,28,25,162,8.10,1,0,0,0,1134305
2026-05-19T18-36-29Z,1800,500,29,25,136,6.80,1,0,0,0,197099
2026-05-19T18-38-55Z,1800,500,30,25,199,9.95,1,0,0,0,242680
2026-05-20T10-18-14Z,1800,500,31,25,529,26.45,1,27634,0,0,1053762
2026-05-20T10-20-35Z,1800,500,32,25,183,9.15,1,0,0,0,462163
2026-05-20T10-23-01Z,1800,500,33,25,117,5.85,1,0,0,0,828285
2026-05-20T10-25-32Z,1800,500,34,25,250,12.50,1,0,0,0,1093408
2026-05-20T10-27-58Z,1800,500,35,25,172,8.60,1,0,0,0,601050
2026-05-20T10-30-24Z,1800,500,36,25,196,9.80,1,0,0,0,409822
2026-05-20T10-32-51Z,1800,500,37,25,178,8.90,1,0,0,0,1140533
2026-05-20T10-35-23Z,1800,500,38,25,121,6.05,1,0,0,0,331816
2026-05-20T10-37-50Z,1800,500,39,25,356,17.80,1,30808,0,0,1068193
2026-05-20T10-40-16Z,1800,500,40,25,502,25.10,1,51658,0,0,1073623
2026-05-20T10-42-42Z,1800,500,41,25,164,8.20,1,0,0,0,296700
2026-05-20T10-45-08Z,1800,500,42,25,154,7.70,1,0,0,0,159797
2026-05-20T10-47-35Z,1800,500,43,25,225,11.25,1,0,0,0,208604
2026-05-20T10-50-02Z,1800,500,44,25,212,10.60,1,0,0,0,523694
2026-05-20T10-52-24Z,1800,500,45,25,921,46.05,1,374469,0,0,461213
2026-05-20T10-54-45Z,1800,500,46,25,153,7.65,1,0,0,0,234419
2026-05-20T10-57-06Z,1800,500,47,25,193,9.65,1,0,0,0,327975
2026-05-20T10-59-33Z,1800,500,48,25,85,4.25,1,0,0,0,81114
2026-05-20T11-02-00Z,1800,500,49,25,167,8.35,1,0,0,0,1097110
2026-05-20T11-04-46Z,1800,500,50,25,844,42.20,1,474881,0,0,602116
2026-05-19T19-03-48Z,1800,500,1,10,375,18.75,1,113741,0,0,1002416
2026-05-19T19-06-24Z,1800,500,2,10,217,10.85,1,27267,0,0,271429
2026-05-19T19-11-37Z,1800,500,3,10,128,6.40,1,6367,0,0,267023
2026-05-19T20-25-58Z,1800,500,4,10,191,9.55,1,12833,0,0,1083713
2026-05-19T20-18-45Z,1800,500,5,10,611,30.55,1,207390,0,0,936576
2026-05-19T19-15-58Z,1800,500,6,10,105,5.25,1,0,0,0,347736
2026-05-19T19-18-19Z,1800,500,7,10,452,22.60,1,118821,0,0,968268
2026-05-19T20-21-11Z,1800,500,8,10,465,23.25,1,246373,0,0,512155
2026-05-19T20-23-37Z,1800,500,9,10,185,9.25,1,39021,0,0,1077606
2026-05-19T19-22-29Z,1800,500,10,10,173,8.65,1,39807,0,0,1051755
2026-05-19T19-24-50Z,1800,500,11,10,475,23.75,1,280877,0,0,820206
2026-05-19T19-27-15Z,1800,500,12,10,103,5.15,1,0,0,0,294509
2026-05-19T19-29-37Z,1800,500,13,10,99,4.95,1,0,0,0,60201
2026-05-19T19-31-58Z,1800,500,14,10,162,8.10,1,28082,0,0,1081716
2026-05-19T19-34-24Z,1800,500,15,10,747,37.35,1,369569,0,0,762970
2026-05-19T19-36-51Z,1800,500,16,10,151,7.55,1,7097,0,0,1115352
2026-05-19T19-39-17Z,1800,500,17,10,63,3.15,1,0,0,0,325511
2026-05-19T19-41-43Z,1800,500,18,10,537,26.85,1,185479,0,0,910180
2026-05-19T19-44-04Z,1800,500,19,10,536,26.80,1,116078,0,0,994744
2026-05-19T19-46-30Z,1800,500,20,10,48,2.40,1,0,0,0,285391
2026-05-19T19-48-56Z,1800,500,21,10,400,20.00,1,139434,0,0,963013
2026-05-19T19-51-22Z,1800,500,22,10,190,9.50,1,38684,0,0,1111540
2026-05-19T19-53-43Z,1800,500,23,10,434,21.70,1,240041,0,0,886718
2026-05-19T19-56-19Z,1800,500,24,10,346,17.30,1,52988,0,0,1078707
2026-05-19T19-58-40Z,1800,500,25,10,136,6.80,1,6538,0,0,227674
2026-05-19T20-01-06Z,1800,500,26,10,79,3.95,1,0,0,0,802405
2026-05-19T20-03-31Z,1800,500,27,10,370,18.50,1,155327,0,0,933382
2026-05-19T20-05-53Z,1800,500,28,10,269,13.45,1,53833,0,0,1060354
2026-05-19T20-08-13Z,1800,500,29,10,447,22.35,1,279505,0,0,843198
2026-05-19T20-10-39Z,1800,500,30,10,92,4.60,1,0,0,0,564719
2026-05-20T11-12-12Z,1800,500,31,10,121,6.05,1,3334,0,0,825627
2026-05-20T11-14-38Z,1800,500,32,10,181,9.05,1,16486,0,0,196817
2026-05-20T11-17-04Z,1800,500,33,10,669,33.45,1,459961,0,0,662746
2026-05-20T11-19-30Z,1800,500,34,10,159,7.95,1,15189,0,0,1111805
2026-05-20T11-21-56Z,1800,500,35,10,20,1.00,1,0,0,0,200260
2026-05-20T11-24-22Z,1800,500,36,10,195,9.75,1,42140,0,0,760416
2026-05-20T11-27-38Z,1800,500,37,10,469,23.45,1,98085,0,0,1002410
2026-05-20T11-30-04Z,1800,500,38,10,957,47.85,1,412710,0,0,695069
2026-05-20T11-33-00Z,1800,500,39,10,157,7.85,1,13185,0,0,1096687
2026-05-20T11-35-26Z,1800,500,40,10,120,6.00,1,2124,0,0,605823
2026-05-20T11-37-52Z,1800,500,41,10,313,15.65,1,65291,0,0,1075005
2026-05-20T11-40-17Z,1800,500,42,10,271,13.55,1,41936,0,0,247074
2026-05-20T11-42-44Z,1800,500,43,10,277,13.85,1,57566,0,0,302216
2026-05-20T11-45-10Z,1800,500,44,10,151,7.55,1,7710,0,0,810913
2026-05-20T11-47-36Z,1800,500,45,10,140,7.00,1,8742,0,0,758071
2026-05-20T11-50-02Z,1800,500,46,10,554,27.70,1,309809,0,0,462966
2026-05-20T11-52-28Z,1800,500,47,10,115,5.75,1,893,0,0,820527
2026-05-20T11-54-53Z,1800,500,48,10,257,12.85,1,70595,0,0,1012798
2026-05-20T11-57-19Z,1800,500,49,10,109,5.45,1,1204,0,0,352031
2026-05-20T11-59-45Z,1800,500,50,10,234,11.70,1,63416,0,0,755129
2026-05-19T20-38-14Z,1800,500,1,5,499,24.95,1,362506,0,0,777589
2026-05-19T20-40-35Z,1800,500,2,5,185,9.25,1,76662,0,0,729010
2026-05-19T20-43-00Z,1800,500,3,5,556,27.80,1,165305,0,0,937811
2026-05-19T20-45-26Z,1800,500,4,5,132,6.60,1,18766,0,0,284506
2026-05-19T20-47-47Z,1800,500,5,5,216,10.80,1,75854,0,0,734050
2026-05-19T20-50-07Z,1800,500,6,5,251,12.55,1,111703,0,0,1003120
2026-05-19T20-52-49Z,1800,500,7,5,813,40.65,1,585330,0,0,551145
2026-05-19T20-55-20Z,1800,500,8,5,153,7.65,1,32424,0,0,1088147
2026-05-19T20-58-35Z,1800,500,9,5,195,9.75,1,36138,0,0,273966
2026-05-19T21-01-02Z,1800,500,10,5,572,28.60,1,175093,0,0,591090
2026-05-19T21-03-27Z,1800,500,11,5,193,9.65,1,67705,0,0,697621
2026-05-19T21-05-53Z,1800,500,12,5,210,10.50,1,82802,0,0,1058355
2026-05-19T21-08-14Z,1800,500,13,5,127,6.35,1,43004,0,0,781790
2026-05-19T21-10-39Z,1800,500,14,5,342,17.10,1,202755,0,0,889321
2026-05-19T21-13-05Z,1800,500,15,5,792,39.60,1,467870,0,0,654230
2026-05-19T21-15-46Z,1800,500,16,5,290,14.50,1,158664,0,0,934553
2026-05-19T21-18-11Z,1800,500,17,5,955,47.75,1,280793,0,0,518272
2026-05-19T21-20-37Z,1800,500,18,5,151,7.55,1,49930,0,0,1096776
2026-05-19T21-22-57Z,1800,500,19,5,166,8.30,1,42751,0,0,380384
2026-05-19T21-25-24Z,1800,500,20,5,773,38.65,1,478446,0,0,639654
2026-05-19T21-27-49Z,1800,500,21,5,214,10.70,1,3030,0,0,269052
2026-05-19T21-30-16Z,1800,500,22,5,112,5.60,1,15240,0,0,338393
2026-05-19T21-32-43Z,1800,500,23,5,160,8.00,1,27414,0,0,304633
2026-05-19T21-35-29Z,1800,500,24,5,313,15.65,1,132195,0,0,968879
2026-05-19T21-38-41Z,1800,500,25,5,124,6.20,1,15607,0,0,379116
2026-05-19T21-41-02Z,1800,500,26,5,78,3.90,1,4167,0,0,318285
2026-05-19T21-43-24Z,1800,500,27,5,147,7.35,1,36252,0,0,1072874
2026-05-19T21-45-50Z,1800,500,28,5,980,49.00,1,906492,0,0,219955
2026-05-19T21-48-16Z,1800,500,29,5,169,8.45,1,53219,0,0,1084469
2026-05-20T07-06-41Z,1800,500,30,5,208,10.40,1,89916,0,0,727974
2026-05-20T12-26-26Z,1800,500,31,5,253,12.65,1,136377,0,0,1009952
2026-05-20T12-28-47Z,1800,500,32,5,232,11.60,1,86023,0,0,1063869
2026-05-20T12-31-13Z,1800,500,33,5,168,8.40,1,54207,0,0,760811
2026-05-20T12-33-38Z,1800,500,34,5,272,13.60,1,117477,0,0,1017432
2026-05-20T12-35-59Z,1800,500,35,5,252,12.60,1,43736,0,0,201076
2026-05-20T12-38-25Z,1800,500,36,5,490,24.50,1,237439,0,0,914967
2026-05-20T12-40-46Z,1800,500,37,5,150,7.50,1,19472,0,0,208887
2026-05-20T12-43-28Z,1800,500,38,5,167,8.35,1,73319,0,0,1036922
2026-05-20T12-45-54Z,1800,500,39,5,203,10.15,1,99404,0,0,977874
2026-05-20T12-48-20Z,1800,500,40,5,115,5.75,1,13980,0,0,784058
2026-05-20T12-50-50Z,1800,500,41,5,521,26.05,1,302591,0,0,456878
2026-05-20T12-53-16Z,1800,500,42,5,512,25.60,1,284796,0,0,848991
2026-05-20T12-55-41Z,1800,500,43,5,247,12.35,1,104741,0,0,1013831
2026-05-20T12-58-02Z,1800,500,44,5,152,7.60,1,20614,0,0,265296
2026-05-20T13-00-28Z,1800,500,45,5,218,10.90,1,89820,0,0,703370
2026-05-20T13-02-54Z,1800,500,46,5,82,4.10,1,3621,0,0,820219
2026-05-20T13-05-15Z,1800,500,47,5,162,8.10,1,47272,0,0,1064845
2026-05-20T13-07-36Z,1800,500,48,5,137,6.85,1,28317,0,0,760578
2026-05-20T13-10-01Z,1800,500,49,5,230,11.50,1,112641,0,0,970687
2026-05-20T13-12-22Z,1800,500,50,5,198,9.90,1,59775,0,0,693574
2026-05-19T21-51-48Z,1800,500,1,2,276,13.80,1,74574,0,0,296115
2026-05-19T21-54-14Z,1800,500,2,2,197,9.85,1,56428,0,0,340747
2026-05-19T21-56-45Z,1800,500,3,2,189,9.45,1,124169,0,0,974075
2026-05-20T07-16-48Z,1800,500,4,2,284,14.20,1,121641,0,0,989974
2026-05-20T07-09-16Z,1800,500,5,2,109,5.45,1,36953,0,0,755744
2026-05-19T22-01-06Z,1800,500,6,2,873,43.65,1,140507,0,0,688096
2026-05-19T22-03-26Z,1800,500,7,2,225,11.25,1,131194,0,0,981542
2026-05-19T22-06-11Z,1800,500,8,2,414,20.70,1,188118,0,0,932983
2026-05-19T22-08-37Z,1800,500,9,2,274,13.70,1,141067,0,0,969995
2026-05-19T22-12-28Z,1800,500,10,2,581,29.05,1,414997,0,0,732198
2026-05-19T22-14-58Z,1800,500,11,2,309,15.45,1,142732,0,0,989925
2026-05-19T22-17-34Z,1800,500,12,2,188,9.40,1,100086,0,0,718014
2026-05-19T22-20-00Z,1800,500,13,2,897,44.85,1,328637,0,0,504225
2026-05-19T22-22-25Z,1800,500,14,2,145,7.25,1,73781,0,0,1062475
2026-05-19T22-24-51Z,1800,500,15,2,463,23.15,1,342387,0,0,764700
2026-05-19T22-27-11Z,1800,500,16,2,394,19.70,1,291940,0,0,829012
2026-05-19T22-29-37Z,1800,500,17,2,97,4.85,1,12768,0,0,237844
2026-05-19T22-32-04Z,1800,500,18,2,290,14.50,1,187527,0,0,905451
2026-05-20T07-14-02Z,1800,500,19,2,226,11.30,1,122718,0,0,688779
2026-05-20T07-11-41Z,1800,500,20,2,229,11.45,1,97844,0,0,1028018
2026-05-19T22-36-04Z,1800,500,21,2,173,8.65,1,0,0,0,134136
2026-05-19T22-38-30Z,1800,500,22,2,197,9.85,1,90856,0,0,1030841
2026-05-19T22-40-51Z,1800,500,23,2,768,38.40,1,639527,0,0,466601
2026-05-19T22-43-12Z,1800,500,24,2,314,15.70,1,84909,0,0,366189
2026-05-19T22-45-33Z,1800,500,25,2,92,4.60,1,12828,0,0,222473
2026-05-19T22-47-55Z,1800,500,26,2,212,10.60,1,64031,0,0,284497
2026-05-19T22-50-26Z,1800,500,27,2,121,6.05,1,17976,0,0,222570
2026-05-19T22-52-53Z,1800,500,28,2,209,10.45,1,85170,0,0,1022385
2026-05-19T22-55-20Z,1800,500,29,2,686,34.30,1,448218,0,0,686162
2026-05-19T22-57-46Z,1800,500,30,2,227,11.35,1,139384,0,0,656293
2026-05-20T13-24-58Z,1800,500,31,2,129,6.45,1,52713,0,0,1069631
2026-05-20T13-40-29Z,1800,500,32,2,388,19.40,1,250689,0,0,864332
2026-05-20T13-42-55Z,1800,500,33,2,269,13.45,1,65588,0,0,214510
2026-05-20T13-45-21Z,1800,500,34,2,191,9.55,1,85072,0,0,711792
2026-05-20T13-47-47Z,1800,500,35,2,207,10.35,1,49362,0,0,226930
2026-05-20T13-50-14Z,1800,500,36,2,125,6.25,1,21280,0,0,299030
2026-05-20T13-52-40Z,1800,500,37,2,933,46.65,1,809136,0,0,301017
2026-05-20T13-55-06Z,1800,500,38,2,178,8.90,1,36484,0,0,255333
2026-05-20T13-57-33Z,1800,500,39,2,145,7.25,1,30877,0,0,239984
2026-05-20T14-26-37Z,1800,500,40,2,87,4.35,1,17451,0,0,282835
2026-05-20T14-29-04Z,1800,500,41,2,286,14.30,1,213352,0,0,919908
2026-05-20T14-03-20Z,1800,500,42,2,278,13.90,1,51467,0,0,194602
2026-05-20T14-05-41Z,1800,500,43,2,315,15.75,1,58116,0,0,217978
2026-05-20T14-08-07Z,1800,500,44,2,242,12.10,1,174277,0,0,921174
2026-05-20T14-10-33Z,1800,500,45,2,98,4.90,1,27576,0,0,736672
2026-05-20T14-12-59Z,1800,500,46,2,319,15.95,1,141247,0,0,942201
2026-05-20T14-15-20Z,1800,500,47,2,226,11.30,1,56414,0,0,243313
2026-05-20T14-17-46Z,1800,500,48,2,100,5.00,1,17392,0,0,298637
2026-05-20T14-20-07Z,1800,500,49,2,295,14.75,1,43036,0,0,214006
2026-05-20T14-22-35Z,1800,500,50,2,194,9.70,1,41000,0,0,245513
