iso_time,burst,bar_ms,iter,peak_inflight,ratio,exit_codes_ok
2026-05-18T07-55-56Z,1800,500,1,325,16.25,1
2026-05-18T07-58-19Z,1800,500,2,259,12.95,1
2026-05-18T08-00-44Z,1800,500,3,204,10.20,1
2026-05-18T08-03-10Z,1800,500,4,136,6.80,1
2026-05-18T08-05-35Z,1800,500,5,159,7.95,1
2026-05-18T08-08-01Z,1800,500,6,570,28.50,1
2026-05-18T08-10-26Z,1800,500,7,88,4.40,1
2026-05-18T08-12-52Z,1800,500,8,234,11.70,1
2026-05-18T08-15-18Z,1800,500,9,261,13.05,1
2026-05-18T08-17-43Z,1800,500,10,249,12.45,1
2026-05-18T08-20-09Z,1800,500,11,918,45.90,1
2026-05-18T08-22-45Z,1800,500,12,162,8.10,1
2026-05-18T08-25-10Z,1800,500,13,504,25.20,1
2026-05-18T08-27-35Z,1800,500,14,221,11.05,1
2026-05-18T08-30-00Z,1800,500,15,954,47.70,1
2026-05-18T08-32-20Z,1800,500,16,206,10.30,1
2026-05-18T08-34-46Z,1800,500,17,146,7.30,1
2026-05-18T08-37-31Z,1800,500,18,111,5.55,1
2026-05-18T08-39-57Z,1800,500,19,189,9.45,1
2026-05-18T08-42-22Z,1800,500,20,317,15.85,1
2026-05-18T08-44-42Z,1800,500,21,156,7.80,1
2026-05-18T08-47-08Z,1800,500,22,157,7.85,1
2026-05-18T08-49-33Z,1800,500,23,680,34.00,1
2026-05-18T08-51-59Z,1800,500,24,129,6.45,1
2026-05-18T08-54-20Z,1800,500,25,282,14.10,1
2026-05-18T08-57-06Z,1800,500,26,254,12.70,1
2026-05-18T08-59-31Z,1800,500,27,228,11.40,1
2026-05-18T09-01-56Z,1800,500,28,151,7.55,1
2026-05-18T09-04-21Z,1800,500,29,105,5.25,1
2026-05-18T09-06-47Z,1800,500,30,668,33.40,1
